Kennziffer;RS;Raumeinheit;Aggregat;Siedlung;Stadt_Land;Raumordnung;dutch
01001;1001;Flensburg, Stadt;krsfr. Stadt;4,0;2,0;102,0;8
01002;1002;Kiel, Stadt;krsfr. Stadt;1,0;1,0;101,0;8
01003;1003;Lübeck, Stadt;krsfr. Stadt;1,0;1,0;103,0;8
01004;1004;Neumünster, Stadt;krsfr. Stadt;3,0;2,0;101,0;6
01051;1051;Dithmarschen;Landkreis;4,0;2,0;105,0;7
01053;1053;Herzogtum Lauenburg;Landkreis;3,0;2,0;104,0;2
01054;1054;Nordfriesland;Landkreis;4,0;2,0;102,0;7
01055;1055;Ostholstein;Landkreis;3,0;2,0;103,0;4
01056;1056;Pinneberg;Landkreis;2,0;1,0;104,0;5
01057;1057;Plön;Landkreis;3,0;2,0;101,0;1
01058;1058;Rendsburg-Eckernförde;Landkreis;3,0;2,0;101,0;3
01059;1059;Schleswig-Flensburg;Landkreis;4,0;2,0;102,0;2
01060;1060;Segeberg;Landkreis;3,0;2,0;104,0;4
01061;1061;Steinburg;Landkreis;4,0;2,0;105,0;2
01062;1062;Stormarn;Landkreis;2,0;1,0;104,0;4
02000;2000;Hamburg, Stadt;krsfr. Stadt;1,0;1,0;201,0;8
03101;3101;Braunschweig, Stadt;krsfr. Stadt;1,0;1,0;301,0;8
03102;3102;Salzgitter, Stadt;krsfr. Stadt;2,0;1,0;301,0;8
03103;3103;Wolfsburg, Stadt;krsfr. Stadt;1,0;1,0;301,0;6
03151;3151;Gifhorn;Landkreis;4,0;2,0;301,0;1
03152;3152;Göttingen;Landkreis;2,0;1,0;305,0;8
03153;3153;Goslar;Landkreis;3,0;2,0;301,0;4
03154;3154;Helmstedt;Landkreis;3,0;2,0;301,0;4
03155;3155;Northeim;Landkreis;4,0;2,0;305,0;2
03156;3156;Osterode am Harz;Landkreis;3,0;2,0;305,0;4
03157;3157;Peine;Landkreis;2,0;1,0;301,0;2
03158;3158;Wolfenbüttel;Landkreis;2,0;1,0;301,0;2
03241;3241;Region Hannover;Landkreis;2,0;1,0;307,0;6
03251;3251;Diepholz;Landkreis;3,0;2,0;302,0;1
03252;3252;Hameln-Pyrmont;Landkreis;2,0;1,0;308,0;4
03254;3254;Hildesheim;Landkreis;2,0;1,0;308,0;4
03255;3255;Holzminden;Landkreis;4,0;2,0;305,0;2
03256;3256;Nienburg (Weser);Landkreis;4,0;2,0;307,0;2
03257;3257;Schaumburg;Landkreis;2,0;1,0;307,0;4
03351;3351;Celle;Landkreis;4,0;2,0;313,0;2
03352;3352;Cuxhaven;Landkreis;4,0;2,0;303,0;2
03353;3353;Harburg;Landkreis;2,0;1,0;306,0;1
03354;3354;Lüchow-Dannenberg;Landkreis;4,0;2,0;309,0;2
03355;3355;Lüneburg;Landkreis;4,0;2,0;309,0;6
03356;3356;Osterholz;Landkreis;2,0;1,0;302,0;2
03357;3357;Rotenburg (Wümme);Landkreis;4,0;2,0;306,0;7
03358;3358;Heidekreis;Landkreis;4,0;2,0;313,0;7
03359;3359;Stade;Landkreis;3,0;2,0;306,0;3
03360;3360;Uelzen;Landkreis;4,0;2,0;309,0;4
03361;3361;Verden;Landkreis;3,0;2,0;302,0;2
03401;3401;Delmenhorst, Stadt;krsfr. Stadt;3,0;2,0;302,0;6
03402;3402;Emden, Stadt;krsfr. Stadt;3,0;2,0;312,0;6
03403;3403;Oldenburg (Oldenburg), Stadt;krsfr. Stadt;1,0;1,0;310,0;8
03404;3404;Osnabrück, Stadt;krsfr. Stadt;1,0;1,0;311,0;10
03405;3405;Wilhelmshaven, Stadt;krsfr. Stadt;2,0;1,0;312,0;8
03451;3451;Ammerland;Landkreis;2,0;1,0;310,0;3
03452;3452;Aurich;Landkreis;3,0;2,0;312,0;5
03453;3453;Cloppenburg;Landkreis;4,0;2,0;310,0;1
03454;3454;Emsland;Landkreis;4,0;2,0;304,0;1
03455;3455;Friesland;Landkreis;2,0;1,0;312,0;3
03456;3456;Grafschaft Bentheim;Landkreis;4,0;2,0;304,0;3
03457;3457;Leer;Landkreis;3,0;2,0;312,0;5
03458;3458;Oldenburg;Landkreis;3,0;2,0;310,0;2
03459;3459;Osnabrück;Landkreis;3,0;2,0;311,0;3
03460;3460;Vechta;Landkreis;3,0;2,0;311,0;3
03461;3461;Wesermarsch;Landkreis;4,0;2,0;303,0;2
03462;3462;Wittmund;Landkreis;4,0;2,0;312,0;7
04011;4011;Bremen, Stadt;krsfr. Stadt;1,0;1,0;401,0;8
