"Laufende
Nummer";Hierachie;A;B;HMG000_A;HMG000_B;Label A;Label B;Syntax bei DummyCoding;
1;1;1;184;HMG001;HMG184;HIV/AIDS mit Dauermedikation;HIV/AIDS ohne Dauermedikation;"IF HMG001=1 THEN HMG184=0;";
2;1;3;4;HMG003;HMG004;Aspergillose / Kryptokokkose;Infektionen durch opportunistische Erreger;"IF HMG003=1 THEN HMG004=0;";
3;1;3;5;HMG003;HMG005;Aspergillose / Kryptokokkose;Infektion durch Zytomegalieviren / Kandidose / PML;"IF HMG003=1 THEN HMG005=0;";
4;1;3;112;HMG003;HMG112;Aspergillose / Kryptokokkose;Nicht näher bezeichnete respiratorische Insuffizienz, Lungenabszess;"IF HMG003=1 THEN HMG112=0;";
5;1;3;113;HMG003;HMG113;Aspergillose / Kryptokokkose;Sonstige Pneumonien;"IF HMG003=1 THEN HMG113=0;";
6;1;4;5;HMG004;HMG005;Infektionen durch opportunistische Erreger;Infektion durch Zytomegalieviren / Kandidose / PML;"IF HMG004=1 THEN HMG005=0;";
7;1;4;112;HMG004;HMG112;Infektionen durch opportunistische Erreger;Nicht näher bezeichnete respiratorische Insuffizienz, Lungenabszess;"IF HMG004=1 THEN HMG112=0;";
8;1;4;113;HMG004;HMG113;Infektionen durch opportunistische Erreger;Sonstige Pneumonien;"IF HMG004=1 THEN HMG113=0;";
9;1;5;112;HMG005;HMG112;Infektion durch Zytomegalieviren / Kandidose / PML;Nicht näher bezeichnete respiratorische Insuffizienz, Lungenabszess;"IF HMG005=1 THEN HMG112=0;";
10;1;5;113;HMG005;HMG113;Infektion durch Zytomegalieviren / Kandidose / PML;Sonstige Pneumonien;"IF HMG005=1 THEN HMG113=0;";
11;2;261;262;HMG261;HMG262;Chronisch myeloische Leukämie und andere nicht-akute Leukämien mit Tyrosinkinase-Inhibitoren;Akute myeloische Leukämie;"IF HMG261=1 THEN HMG262=0;";
12;2;261;263;HMG261;HMG263;Chronisch myeloische Leukämie und andere nicht-akute Leukämien mit Tyrosinkinase-Inhibitoren;Akute lymphatische Leukämie, Erythroleukämie, Mastzellenleukämie, Multiples Myelom / Plasmozytom;"IF HMG261=1 THEN HMG263=0;";
13;2;261;264;HMG261;HMG264;Chronisch myeloische Leukämie und andere nicht-akute Leukämien mit Tyrosinkinase-Inhibitoren;Chronisch myeloische Leukämie und andere nicht-akute Leukämien ohne Tyrosinkinase-Inhibitoren;"IF HMG261=1 THEN HMG264=0;";
14;2;261;265;HMG261;HMG265;Chronisch myeloische Leukämie und andere nicht-akute Leukämien mit Tyrosinkinase-Inhibitoren;Non-Hodgkin-Lymphom;"IF HMG261=1 THEN HMG265=0;";
15;2;261;266;HMG261;HMG266;Chronisch myeloische Leukämie und andere nicht-akute Leukämien mit Tyrosinkinase-Inhibitoren;Chronisch lymphatische Leukämie, Leukämie durch unspezifizierte Zellen, chronisch myeloproliferative Krankheit ;"IF HMG261=1 THEN HMG266=0;";
